j_gene	productive	vj_in_frame	N	subject
TRBJ1-1	FALSE	FALSE	4595	HIP02805
TRBJ1-1	FALSE	TRUE	387	HIP02805
TRBJ1-1	TRUE	TRUE	25335	HIP02805
TRBJ1-1,TRBJ1-2	TRUE	TRUE	1	HIP02805
TRBJ1-1,TRBJ1-6	TRUE	TRUE	1	HIP02805
TRBJ1-1,TRBJ2-2	TRUE	TRUE	1	HIP02805
TRBJ1-1,TRBJ2-7	FALSE	FALSE	1	HIP02805
TRBJ1-2	FALSE	FALSE	4865	HIP02805
TRBJ1-2	FALSE	TRUE	326	HIP02805
TRBJ1-2	TRUE	TRUE	25087	HIP02805
TRBJ1-2,TRBJ1-6	FALSE	FALSE	1	HIP02805
TRBJ1-2,TRBJ2-1,TRBJ2-5	FALSE	FALSE	1	HIP02805
TRBJ1-2,TRBJ2-7	FALSE	FALSE	1	HIP02805
TRBJ1-3	FALSE	FALSE	1383	HIP02805
TRBJ1-3	FALSE	TRUE	97	HIP02805
TRBJ1-3	TRUE	TRUE	7862	HIP02805
TRBJ1-3,TRBJ2-2	TRUE	TRUE	3	HIP02805
TRBJ1-4	FALSE	FALSE	1763	HIP02805
TRBJ1-4	FALSE	TRUE	133	HIP02805
TRBJ1-4	TRUE	TRUE	8024	HIP02805
TRBJ1-4,TRBJ2-2	FALSE	FALSE	1	HIP02805
TRBJ1-4,TRBJ2-3	FALSE	FALSE	3	HIP02805
TRBJ1-4,TRBJ2-3	TRUE	TRUE	1	HIP02805
TRBJ1-5	FALSE	FALSE	4088	HIP02805
TRBJ1-5	FALSE	TRUE	311	HIP02805
TRBJ1-5	TRUE	TRUE	14942	HIP02805
TRBJ1-6	FALSE	FALSE	1473	HIP02805
TRBJ1-6	FALSE	TRUE	124	HIP02805
TRBJ1-6	TRUE	TRUE	7098	HIP02805
TRBJ1-6,TRBJ2-3	FALSE	FALSE	1	HIP02805
TRBJ2-1	FALSE	FALSE	6452	HIP02805
TRBJ2-1	FALSE	TRUE	796	HIP02805
TRBJ2-1	TRUE	TRUE	30000	HIP02805
TRBJ2-1,TRBJ2-2,TRBJ2-5	TRUE	TRUE	1	HIP02805
TRBJ2-1,TRBJ2-2P,TRBJ2-5	FALSE	FALSE	1	HIP02805
TRBJ2-1,TRBJ2-5	FALSE	FALSE	58	HIP02805
TRBJ2-1,TRBJ2-5	FALSE	TRUE	8	HIP02805
TRBJ2-1,TRBJ2-5	TRUE	TRUE	75	HIP02805
TRBJ2-1,TRBJ2-5,TRBJ2-6	FALSE	FALSE	2	HIP02805
TRBJ2-1,TRBJ2-5,TRBJ2-6	TRUE	TRUE	1	HIP02805
TRBJ2-1,TRBJ2-7	FALSE	FALSE	10	HIP02805
TRBJ2-1,TRBJ2-7	FALSE	TRUE	1	HIP02805
TRBJ2-1,TRBJ2-7	TRUE	TRUE	14	HIP02805
TRBJ2-2	FALSE	FALSE	3383	HIP02805
TRBJ2-2	FALSE	TRUE	339	HIP02805
TRBJ2-2	TRUE	TRUE	16251	HIP02805
TRBJ2-2P	FALSE	FALSE	2	HIP02805
TRBJ2-2P	TRUE	TRUE	3	HIP02805
TRBJ2-3	FALSE	FALSE	4875	HIP02805
TRBJ2-3	FALSE	TRUE	622	HIP02805
TRBJ2-3	TRUE	TRUE	23472	HIP02805
TRBJ2-4	FALSE	FALSE	1451	HIP02805
TRBJ2-4	FALSE	TRUE	174	HIP02805
TRBJ2-4	TRUE	TRUE	4163	HIP02805
TRBJ2-4,TRBJ2-5	TRUE	TRUE	1	HIP02805
TRBJ2-4,TRBJ2-7	TRUE	TRUE	1	HIP02805
