"SUBJECT"	"GENE"	"N"	"TOTAL"	"FREQ"
"1"	"hemC_24"	"TRBV1"	0	10125	0
"2"	"hemC_24"	"TRBV10-1"	47	10125	0.00464197530864198
"3"	"hemC_24"	"TRBV10-2"	17	10125	0.00167901234567901
"4"	"hemC_24"	"TRBV10-3"	118	10125	0.0116543209876543
"5"	"hemC_24"	"TRBV11-1"	120	10125	0.0118518518518519
"6"	"hemC_24"	"TRBV11-2"	41	10125	0.00404938271604938
"7"	"hemC_24"	"TRBV11-3"	2	10125	0.000197530864197531
"8"	"hemC_24"	"TRBV12-34"	754	10125	0.0744691358024691
"9"	"hemC_24"	"TRBV12-5"	8	10125	0.000790123456790123
"10"	"hemC_24"	"TRBV13"	12	10125	0.00118518518518519
"11"	"hemC_24"	"TRBV14"	1	10125	9.87654320987654e-05
"12"	"hemC_24"	"TRBV15"	126	10125	0.0124444444444444
"13"	"hemC_24"	"TRBV16"	0	10125	0
"14"	"hemC_24"	"TRBV18"	12	10125	0.00118518518518519
"15"	"hemC_24"	"TRBV19"	278	10125	0.0274567901234568
"16"	"hemC_24"	"TRBV2"	0	10125	0
"17"	"hemC_24"	"TRBV20-1"	190	10125	0.0187654320987654
"18"	"hemC_24"	"TRBV21-1"	0	10125	0
"19"	"hemC_24"	"TRBV23-1"	0	10125	0
"20"	"hemC_24"	"TRBV24-1"	30	10125	0.00296296296296296
"21"	"hemC_24"	"TRBV25-1"	1	10125	9.87654320987654e-05
"22"	"hemC_24"	"TRBV26"	0	10125	0
"23"	"hemC_24"	"TRBV27"	230	10125	0.022716049382716
"24"	"hemC_24"	"TRBV28"	27	10125	0.00266666666666667
"25"	"hemC_24"	"TRBV29-1"	1677	10125	0.16562962962963
"26"	"hemC_24"	"TRBV3-1"	0	10125	0
"27"	"hemC_24"	"TRBV3-2"	0	10125	0
"28"	"hemC_24"	"TRBV30"	1108	10125	0.109432098765432
"29"	"hemC_24"	"TRBV4-1"	2	10125	0.000197530864197531
"30"	"hemC_24"	"TRBV4-2"	3	10125	0.000296296296296296
"31"	"hemC_24"	"TRBV4-3"	15	10125	0.00148148148148148
"32"	"hemC_24"	"TRBV5-1"	49	10125	0.00483950617283951
"33"	"hemC_24"	"TRBV5-3"	6	10125	0.000592592592592593
"34"	"hemC_24"	"TRBV5-4"	208	10125	0.0205432098765432
"35"	"hemC_24"	"TRBV5-5"	37	10125	0.00365432098765432
"36"	"hemC_24"	"TRBV5-6"	394	10125	0.0389135802469136
"37"	"hemC_24"	"TRBV5-7"	3	10125	0.000296296296296296
"38"	"hemC_24"	"TRBV5-8"	6	10125	0.000592592592592593
"39"	"hemC_24"	"TRBV6-1"	352	10125	0.0347654320987654
"40"	"hemC_24"	"TRBV6-23"	223	10125	0.0220246913580247
"41"	"hemC_24"	"TRBV6-4"	76	10125	0.00750617283950617
"42"	"hemC_24"	"TRBV6-5"	2609	10125	0.257679012345679
"43"	"hemC_24"	"TRBV6-6"	286	10125	0.0282469135802469
"44"	"hemC_24"	"TRBV6-7"	4	10125	0.000395061728395062
"45"	"hemC_24"	"TRBV6-8"	9	10125	0.000888888888888889
"46"	"hemC_24"	"TRBV6-9"	44	10125	0.00434567901234568
"47"	"hemC_24"	"TRBV7-1"	0	10125	0
"48"	"hemC_24"	"TRBV7-2"	485	10125	0.0479012345679012
"49"	"hemC_24"	"TRBV7-3"	18	10125	0.00177777777777778
"50"	"hemC_24"	"TRBV7-4"	175	10125	0.0172839506172839
"51"	"hemC_24"	"TRBV7-6"	214	10125	0.0211358024691358
"52"	"hemC_24"	"TRBV7-7"	3	10125	0.000296296296296296
"53"	"hemC_24"	"TRBV7-8"	1	10125	9.87654320987654e-05
"54"	"hemC_24"	"TRBV7-9"	101	10125	0.00997530864197531
"55"	"hemC_24"	"TRBV9"	3	10125	0.000296296296296296
"56"	"hemC_25"	"TRBV1"	0	27249	0
"57"	"hemC_25"	"TRBV10-1"	54	27249	0.00198172409996697
"58"	"hemC_25"	"TRBV10-2"	26	27249	0.000954163455539653
"59"	"hemC_25"	"TRBV10-3"	540	27249	0.0198172409996697
"60"	"hemC_25"	"TRBV11-1"	569	27249	0.0208815002385409
"61"	"hemC_25"	"TRBV11-2"	172	27249	0.00631215824433924
"62"	"hemC_25"	"TRBV11-3"	14	27249	0.000513780322213659
"63"	"hemC_25"	"TRBV12-34"	903	27249	0.033138830782781
"64"	"hemC_25"	"TRBV12-5"	13	27249	0.000477081727769826
"65"	"hemC_25"	"TRBV13"	367	27249	0.0134683841608866
"66"	"hemC_25"	"TRBV14"	223	27249	0.00818378656097471
"67"	"hemC_25"	"TRBV15"	491	27249	0.0180190098719219
"68"	"hemC_25"	"TRBV16"	0	27249	0
"69"	"hemC_25"	"TRBV18"	710	27249	0.0260560020551213
"70"	"hemC_25"	"TRBV19"	2564	27249	0.0940951961539873
"71"	"hemC_25"	"TRBV2"	89	27249	0.00326617490550112
"72"	"hemC_25"	"TRBV20-1"	1171	27249	0.0429740540937282
