unique_reads	filename	dataset
112222	C10/C10_novel.tab	DS1
164685	C4T/C4T_novel.tab	DS1
137956	C5/C5_novel.tab	DS1
132773	C6T/C6T_novel.tab	DS1
56146	C7/C7_novel.tab	DS1
34169	C8/C8_novel.tab	DS1
41337	C9/C9_novel.tab	DS1
9409	CI10/CI10_novel.tab	DS1
98801	CI11/CI11_novel.tab	DS1
45192	CI13/CI13_novel.tab	DS1
118085	CI15/CI15_novel.tab	DS1
105619	CI16/CI16_novel.tab	DS1
86739	CI20/CI20_novel.tab	DS1
72975	CI21/CI21_novel.tab	DS1
71826	CI22/CI22_novel.tab	DS1
44585	CI26/CI26_novel.tab	DS1
117073	CI4T/CI4T_novel.tab	DS1
48022	SC1/SC1_novel.tab	DS1
14727	SC10/SC10_novel.tab	DS1
31839	SC11/SC11_novel.tab	DS1
57043	SC12/SC12_novel.tab	DS1
27823	SC14/SC14_novel.tab	DS1
56938	SC15/SC15_novel.tab	DS1
29805	SC2/SC2_novel.tab	DS1
43098	SC3/SC3_novel.tab	DS1
50261	SC7/SC7_novel.tab	DS1
58897	SC8/SC8_novel.tab	DS1
34900	SC9/SC9_novel.tab	DS1
20032	HD_1/HD_1_novel.tab	DS3
49370	HD_10/HD_10_novel.tab	DS3
21404	HD_11/HD_11_novel.tab	DS3
25851	HD_12/HD_12_novel.tab	DS3
67265	HD_13/HD_13_novel.tab	DS3
41388	HD_13a/HD_13a_novel.tab	DS3
28325	HD_13b/HD_13b_novel.tab	DS3
43865	HD_14/HD_14_novel.tab	DS3
19086	HD_15/HD_15_novel.tab	DS3
24837	HD_16/HD_16_novel.tab	DS3
59155	HD_17/HD_17_novel.tab	DS3
30582	HD_18/HD_18_novel.tab	DS3
27593	HD_19/HD_19_novel.tab	DS3
46264	HD_2/HD_2_novel.tab	DS3
31327	HD_20/HD_20_novel.tab	DS3
1737	HD_21/HD_21_novel.tab	DS3
36040	HD_22/HD_22_novel.tab	DS3
29072	HD_23/HD_23_novel.tab	DS3
23376	HD_24/HD_24_novel.tab	DS3
24053	HD_25/HD_25_novel.tab	DS3
41967	HD_26/HD_26_novel.tab	DS3
66891	HD_27/HD_27_novel.tab	DS3
99868	HD_28/HD_28_novel.tab	DS3
29502	HD_28a/HD_28a_novel.tab	DS3
39271	HD_28b/HD_28b_novel.tab	DS3
34452	HD_28c/HD_28c_novel.tab	DS3
31974	HD_29/HD_29_novel.tab	DS3
22606	HD_3/HD_3_novel.tab	DS3
29768	HD_30/HD_30_novel.tab	DS3
27812	HD_31/HD_31_novel.tab	DS3
79789	HD_32/HD_32_novel.tab	DS3
24636	HD_33/HD_33_novel.tab	DS3
17366	HD_34/HD_34_novel.tab	DS3
46918	HD_35/HD_35_novel.tab	DS3
37100	HD_36/HD_36_novel.tab	DS3
20843	HD_37/HD_37_novel.tab	DS3
28366	HD_38/HD_38_novel.tab	DS3
25546	HD_39/HD_39_novel.tab	DS3
41062	HD_4/HD_4_novel.tab	DS3
51694	HD_40/HD_40_novel.tab	DS3
15841	HD_41/HD_41_novel.tab	DS3
