GENES	TRBV25-1	TRBV27	TRBV7-6	TRBV7-3	TRBV5-1	TRBV6-4	TRBV4-3	TRBV6-3	TRBV3-1	TRBV5-7	TRBV6-5	TRBV5-6	TRBV5-5	TRBV5-4	TRBV30	TRBV21/OR9-2	TRBV12-4	TRBV7-8	TRBV12-5	TRBV24/OR9-2	TRBV6-6	TRBV6-7	TRBV10-1	TRBV23/OR9-2	TRBV7-4	TRBV4-2	TRBV24-1	TRBV6-1	TRBV20/OR9-2	TRBV12-3	TRBV4-1	TRBV7-7	TRBV20-1	TRBV23-1	TRBV3-2	TRBV19	TRBV12-2	TRBV11-3	TRBV5-3	TRBV10-3	TRBV12-1	TRBV10-2	TRBV26/OR9-2	TRBV15	TRBV6-9	TRBV9	TRBV7-9	TRBV21-1	TRBV7-1	TRBV28	TRBV29-1	TRBV17	TRBV2	TRBV11-2	TRBV11-1	TRBV18	TRBV26	TRBV14	TRBV16	TRBV5-8	TRBV29/OR9-2	TRBV6-2	TRBV6-8	TRBV7-2	TRBV13
TRBV25-1	0.0	9.0	17.0	15.0	20.0	9.0	15.0	10.0	15.0	17.0	10.0	17.0	17.0	17.0	15.0	16.0	15.0	15.0	21.0	13.0	9.0	11.0	12.0	11.0	16.0	14.0	13.0	9.0	19.0	15.0	14.0	17.0	19.0	14.0	15.0	14.0	21.0	14.0	18.0	11.0	20.0	11.0	14.0	16.0	11.0	16.0	15.0	16.0	17.0	11.0	16.0	19.0	13.0	13.0	17.0	20.0	13.0	16.0	17.0	17.0	17.0	10.0	11.0	17.0	15.0
TRBV27	9.0	0.0	14.0	14.0	18.0	9.0	16.0	8.0	15.0	16.0	7.0	16.0	17.0	15.0	16.0	16.0	8.0	13.0	15.0	8.0	7.0	9.0	11.0	10.0	13.0	13.0	8.0	8.0	17.0	8.0	16.0	14.0	17.0	12.0	15.0	13.0	17.0	15.0	17.0	10.0	13.0	10.0	8.0	17.0	8.0	15.0	14.0	14.0	14.0	5.0	19.0	20.0	13.0	12.0	15.0	18.0	7.0	17.0	16.0	15.0	19.0	8.0	8.0	13.0	13.0
TRBV7-6	17.0	14.0	0.0	6.0	9.0	16.0	10.0	17.0	11.0	7.0	16.0	7.0	6.0	7.0	14.0	13.0	10.0	5.0	15.0	19.0	13.0	17.0	17.0	9.0	5.0	8.0	19.0	16.0	18.0	10.0	11.0	1.0	18.0	12.0	11.0	15.0	7.0	5.0	7.0	16.0	10.0	15.0	15.0	10.0	15.0	9.0	2.0	10.0	6.0	14.0	18.0	14.0	10.0	6.0	4.0	16.0	14.0	15.0	13.0	7.0	20.0	17.0	16.0	4.0	8.0
TRBV7-3	15.0	14.0	6.0	0.0	7.0	14.0	10.0	15.0	8.0	6.0	14.0	5.0	4.0	6.0	12.0	12.0	9.0	4.0	13.0	17.0	11.0	15.0	16.0	8.0	3.0	8.0	17.0	14.0	19.0	9.0	10.0	5.0	19.0	11.0	8.0	16.0	7.0	4.0	5.0	15.0	11.0	15.0	14.0	9.0	13.0	7.0	4.0	10.0	6.0	14.0	17.0	11.0	8.0	5.0	5.0	13.0	13.0	11.0	10.0	5.0	19.0	15.0	15.0	4.0	6.0
TRBV5-1	20.0	18.0	9.0	7.0	0.0	19.0	10.0	19.0	13.0	5.0	19.0	4.0	4.0	5.0	16.0	17.0	14.0	9.0	15.0	19.0	14.0	19.0	17.0	10.0	9.0	9.0	19.0	19.0	22.0	14.0	11.0	10.0	20.0	12.0	13.0	17.0	11.0	6.0	4.0	19.0	12.0	18.0	18.0	12.0	17.0	9.0	7.0	14.0	10.0	17.0	18.0	13.0	12.0	8.0	7.0	17.0	19.0	14.0	14.0	4.0	21.0	19.0	19.0	8.0	6.0
TRBV6-4	9.0	9.0	16.0	14.0	19.0	0.0	17.0	4.0	14.0	18.0	3.0	18.0	17.0	16.0	14.0	15.0	11.0	14.0	17.0	10.0	3.0	4.0	6.0	11.0	14.0	14.0	10.0	4.0	18.0	11.0	16.0	15.0	17.0	14.0	14.0	16.0	18.0	13.0	18.0	5.0	16.0	5.0	10.0	16.0	5.0	14.0	14.0	14.0	14.0	9.0	16.0	18.0	11.0	12.0	15.0	17.0	9.0	16.0	13.0	17.0	18.0	4.0	4.0	15.0	14.0
TRBV4-3	15.0	16.0	10.0	10.0	10.0	17.0	0.0	16.0	9.0	9.0	16.0	10.0	9.0	8.0	14.0	11.0	13.0	8.0	17.0	19.0	12.0	18.0	15.0	8.0	11.0	1.0	19.0	14.0	17.0	13.0	1.0	11.0	17.0	8.0	9.0	14.0	13.0	7.0	10.0	17.0	12.0	14.0	14.0	13.0	17.0	12.0	8.0	10.0	11.0	16.0	13.0	14.0	11.0	7.0	9.0	14.0	15.0	12.0	12.0	8.0	17.0	16.0	17.0	8.0	11.0
TRBV6-3	10.0	8.0	17.0	15.0	19.0	4.0	16.0	0.0	15.0	18.0	1.0	18.0	18.0	18.0	16.0	16.0	10.0	15.0	16.0	11.0	1.0	4.0	7.0	13.0	14.0	13.0	11.0	4.0	18.0	10.0	16.0	16.0	17.0	15.0	15.0	17.0	19.0	15.0	19.0	6.0	15.0	6.0	10.0	18.0	3.0	16.0	16.0	15.0	15.0	9.0	18.0	20.0	14.0	13.0	16.0	18.0	9.0	17.0	15.0	18.0	20.0	0.0	2.0	15.0	15.0
TRBV3-1	15.0	15.0	11.0	8.0	13.0	14.0	9.0	15.0	0.0	11.0	14.0	11.0	10.0	11.0	12.0	12.0	10.0	9.0	14.0	19.0	10.0	14.0	15.0	10.0	8.0	8.0	19.0	12.0	19.0	10.0	9.0	11.0	19.0	13.0	0.0	16.0	12.0	6.0	11.0	14.0	14.0	13.0	16.0	13.0	15.0	7.0	9.0	10.0	9.0	17.0	17.0	17.0	10.0	7.0	8.0	14.0	16.0	8.0	8.0	11.0	20.0	15.0	15.0	10.0	9.0
TRBV5-7	17.0	16.0	7.0	6.0	5.0	18.0	9.0	18.0	11.0	0.0	18.0	1.0	2.0	5.0	12.0	14.0	13.0	7.0	15.0	18.0	13.0	18.0	18.0	8.0	8.0	6.0	18.0	18.0	19.0	13.0	10.0	8.0	18.0	12.0	11.0	14.0	10.0	4.0	4.0	18.0	10.0	18.0	19.0	12.0	16.0	9.0	6.0	11.0	9.0	15.0	18.0	14.0	12.0	6.0	5.0	14.0	18.0	14.0	14.0	4.0	21.0	18.0	19.0	6.0	6.0
