GENES	TRBV25-1	TRBV27	TRBV7-6	TRBV7-3	TRBV5-1	TRBV6-4	TRBV4-3	TRBV6-3	TRBV3-1	TRBV5-7	TRBV6-5	TRBV5-6	TRBV5-5	TRBV5-4	TRBV30	TRBV21/OR9-2	TRBV12-4	TRBV7-8	TRBV12-5	TRBV24/OR9-2	TRBV6-6	TRBV6-7	TRBV10-1	TRBV23/OR9-2	TRBV7-4	TRBV4-2	TRBV24-1	TRBV6-1	TRBV20/OR9-2	TRBV12-3	TRBV4-1	TRBV7-7	TRBV20-1	TRBV23-1	TRBV3-2	TRBV19	TRBV11-3	TRBV5-3	TRBV1	TRBV10-3	TRBV10-2	TRBV26/OR9-2	TRBV15	TRBV6-9	TRBV9	TRBV7-9	TRBV21-1	TRBV7-1	TRBV28	TRBV29-1	TRBV26	TRBV2	TRBV11-2	TRBV11-1	TRBV18	TRBV5-8	TRBV14	TRBV16	TRBV6-2	TRBV29/OR9-2	TRBV6-8	TRBV7-2	TRBV13
TRBV25-1	0.0	52.0	83.0	83.0	78.0	56.0	81.0	63.0	78.0	83.0	62.0	83.0	84.0	78.0	74.0	80.0	78.0	81.0	86.0	61.0	58.0	60.0	60.0	52.0	83.0	82.0	61.0	62.0	80.0	79.0	81.0	82.0	82.0	75.0	81.0	74.0	78.0	82.0	81.0	56.0	61.0	65.0	80.0	62.0	76.0	76.0	79.0	81.0	55.0	81.0	62.0	76.0	79.0	82.0	81.0	75.0	80.0	78.0	63.0	83.0	62.0	82.0	75.0
TRBV27	52.0	0.0	77.0	79.0	81.0	55.0	79.0	52.0	75.0	82.0	54.0	81.0	82.0	79.0	75.0	81.0	69.0	78.0	79.0	52.0	48.0	50.0	54.0	55.0	75.0	80.0	51.0	54.0	78.0	69.0	81.0	77.0	75.0	74.0	81.0	58.0	78.0	82.0	82.0	47.0	52.0	53.0	82.0	53.0	76.0	74.0	79.0	73.0	39.0	82.0	49.0	76.0	76.0	76.0	83.0	80.0	80.0	79.0	52.0	84.0	53.0	75.0	76.0
TRBV7-6	83.0	77.0	0.0	31.0	65.0	80.0	69.0	80.0	76.0	68.0	78.0	65.0	67.0	71.0	75.0	69.0	51.0	20.0	57.0	78.0	76.0	76.0	77.0	52.0	21.0	68.0	78.0	78.0	81.0	51.0	72.0	5.0	81.0	70.0	77.0	73.0	46.0	70.0	75.0	72.0	74.0	82.0	70.0	74.0	69.0	18.0	66.0	32.0	75.0	79.0	79.0	55.0	51.0	46.0	73.0	70.0	62.0	72.0	80.0	82.0	77.0	27.0	69.0
TRBV7-3	83.0	79.0	31.0	0.0	71.0	80.0	71.0	78.0	76.0	71.0	76.0	67.0	67.0	69.0	70.0	69.0	50.0	31.0	55.0	82.0	72.0	75.0	77.0	57.0	31.0	73.0	82.0	77.0	81.0	49.0	73.0	32.0	78.0	71.0	75.0	77.0	47.0	67.0	75.0	73.0	72.0	77.0	69.0	75.0	69.0	35.0	68.0	29.0	77.0	80.0	78.0	59.0	46.0	45.0	71.0	68.0	57.0	66.0	78.0	81.0	74.0	26.0	65.0
TRBV5-1	78.0	81.0	65.0	71.0	0.0	77.0	71.0	81.0	73.0	36.0	81.0	35.0	35.0	38.0	76.0	74.0	72.0	71.0	76.0	71.0	78.0	78.0	78.0	55.0	68.0	70.0	71.0	78.0	81.0	71.0	70.0	67.0	83.0	71.0	73.0	83.0	67.0	31.0	74.0	78.0	76.0	78.0	73.0	80.0	46.0	64.0	71.0	71.0	82.0	77.0	80.0	68.0	70.0	65.0	77.0	33.0	77.0	73.0	81.0	79.0	80.0	71.0	46.0
TRBV6-4	56.0	55.0	80.0	80.0	77.0	0.0	80.0	38.0	74.0	80.0	33.0	80.0	82.0	75.0	78.0	82.0	74.0	79.0	81.0	57.0	34.0	35.0	36.0	56.0	77.0	79.0	56.0	38.0	78.0	74.0	83.0	77.0	78.0	80.0	77.0	72.0	77.0	83.0	82.0	37.0	39.0	58.0	82.0	31.0	76.0	77.0	81.0	77.0	56.0	82.0	56.0	78.0	74.0	80.0	84.0	78.0	82.0	77.0	38.0	84.0	38.0	76.0	75.0
TRBV4-3	81.0	79.0	69.0	71.0	71.0	80.0	0.0	82.0	53.0	70.0	78.0	70.0	69.0	68.0	76.0	66.0	71.0	70.0	76.0	76.0	77.0	79.0	75.0	45.0	72.0	8.0	76.0	79.0	78.0	70.0	21.0	70.0	79.0	59.0	54.0	77.0	68.0	74.0	39.0	73.0	75.0	76.0	73.0	79.0	71.0	67.0	64.0	76.0	77.0	73.0	78.0	77.0	66.0	68.0	75.0	67.0	74.0	68.0	82.0	76.0	78.0	70.0	67.0
TRBV6-3	63.0	52.0	80.0	78.0	81.0	38.0	82.0	0.0	76.0	82.0	22.0	80.0	81.0	76.0	71.0	83.0	75.0	79.0	82.0	62.0	24.0	31.0	44.0	56.0	78.0	79.0	61.0	23.0	77.0	74.0	86.0	77.0	81.0	82.0	83.0	72.0	76.0	82.0	83.0	39.0	42.0	60.0	83.0	24.0	76.0	78.0	79.0	79.0	57.0	82.0	59.0	78.0	77.0	74.0	84.0	81.0	82.0	80.0	0.0	86.0	27.0	81.0	77.0
TRBV3-1	78.0	75.0	76.0	76.0	73.0	74.0	53.0	76.0	0.0	72.0	74.0	74.0	70.0	71.0	78.0	68.0	69.0	75.0	71.0	77.0	73.0	73.0	72.0	50.0	75.0	51.0	77.0	74.0	82.0	67.0	48.0	76.0	85.0	68.0	10.0	81.0	67.0	67.0	51.0	71.0	71.0	78.0	75.0	75.0	63.0	75.0	64.0	74.0	79.0	79.0	79.0	67.0	68.0	68.0	69.0	73.0	72.0	67.0	76.0	80.0	73.0	79.0	62.0
TRBV5-7	83.0	82.0	68.0	71.0	36.0	80.0	70.0	82.0	72.0	0.0	83.0	8.0	6.0	19.0	74.0	75.0	75.0	70.0	82.0	80.0	78.0	83.0	82.0	54.0	74.0	69.0	80.0	79.0	80.0	75.0	73.0	69.0	82.0	78.0	75.0	83.0	65.0	30.0	75.0	78.0	82.0	84.0	73.0	82.0	46.0	68.0	74.0	72.0	77.0	83.0	84.0	70.0	67.0	66.0	79.0	28.0	75.0	77.0	82.0	86.0	82.0	73.0	40.0
TRBV6-5	62.0	54.0	78.0	76.0	81.0	33.0	78.0	22.0	74.0	83.0	0.0	82.0	83.0	78.0	70.0	81.0	73.0	77.0	80.0	63.0	9.0	17.0	36.0	56.0	77.0	78.0	62.0	21.0	73.0	74.0	82.0	74.0	78.0	77.0	80.0	72.0	75.0	83.0	81.0	34.0	34.0	58.0	83.0	12.0	77.0	75.0	78.0	79.0	57.0	78.0	56.0	77.0	76.0	74.0	82.0	79.0	78.0	75.0	22.0	82.0	16.0	79.0	76.0
TRBV5-6	83.0	81.0	65.0	67.0	35.0	80.0	70.0	80.0	74.0	8.0	82.0	0.0	10.0	17.0	74.0	76.0	74.0	69.0	81.0	80.0	76.0	82.0	81.0	54.0	71.0	70.0	80.0	76.0	80.0	74.0	75.0	66.0	83.0	77.0	76.0	82.0	64.0	26.0	78.0	78.0	81.0	85.0	73.0	79.0	45.0	65.0	74.0	69.0	79.0	81.0	85.0	72.0	68.0	63.0	80.0	25.0	74.0	77.0	80.0	84.0	81.0	72.0	41.0
